,0,fit_RMSE,update_RMSE
0,08/22,0.6478454737422646,0.6478454737422646
1,08/23,0.6483574567453015,0.6602319289252259
2,08/24,0.895687006303419,0.7796384222051886
3,08/25,0.6143953531644025,0.6305356906565578
4,08/26,0.7001422072143223,0.688152352251703
5,08/27,0.6482614413268039,0.648297597405722
6,08/28,1.0471284180100582,0.8001474564023272
7,08/29,1.401083422314867,1.1743889638617058
8,08/30,1.351082685048839,1.2147589180703735
9,08/31,1.0374793063547176,1.033821530678409
10,09/01,0.5532505989061411,0.7033505290842214
11,09/02,1.1726583425410535,0.5964483991659313
12,09/03,0.6664448284774673,0.4652212318708849
13,09/04,0.9355699839240816,0.8273005646612747
14,09/05,0.2958583881010149,0.3576300562338005
15,09/06,0.2712253920447787,0.1876788881255601
16,09/07,0.2824889819519728,0.1990015190117586
17,09/08,0.322567935768639,0.2222609299502695
18,09/09,0.441868422068763,0.2601166882880518
19,09/10,0.4308068468779747,0.2409681710112323
20,09/11,0.4279585340379364,0.2932682004438618
21,09/12,0.5673511442588048,0.2116268298500937
22,09/13,0.9232404592171896,0.1746814615061363
23,09/14,0.5329173565901272,0.2166189998026005
24,09/15,0.3594386034655626,0.2208799189271967
25,09/16,0.586443994917514,0.2616274443304737
26,09/17,0.3498460412321477,0.2904190233068093
