,k,m,sigma_obs,delta,beta
09-01,-0.0456983,0.915,0.0204874,"[-1.08857e-07 -1.54802e-05 -1.45585e-07 -8.36569e-08  2.62805e-08
 -4.82865e-09  2.74180e-08 -1.19277e-03 -4.86210e-03 -1.30018e-06
  1.92997e-07  7.21359e-02  7.49826e-02  1.25381e-02 -2.43759e-03
 -2.55373e-02 -3.21520e-02 -5.11317e-02 -3.79087e-08  9.67221e-09
  8.04275e-06  3.90986e-04  2.25334e-09 -1.04077e-07 -2.58400e-02]","[-0.00141212 -0.00437186 -0.00307607 -0.00201337  0.00324265 -0.00122304
 -0.00124537 -0.00343844  0.00056395  0.00222294  0.00094531 -0.00095522
 -0.00095822  0.00080355]"
09-02,0.0181315,0.910314,0.0199104,"[-1.02734e-08 -7.72840e-04 -7.23593e-02 -1.05118e-05 -2.54163e-06
 -9.56377e-09  1.69615e-08 -4.05150e-08 -3.61592e-07 -4.99676e-07
  3.21973e-09  4.65984e-02  1.57111e-01 -1.19632e-08 -8.86484e-08
 -4.50600e-08 -1.73238e-01 -5.96413e-02  3.40130e-08  4.05056e-08
  6.12143e-04  2.83899e-01  2.49867e-08  5.05161e-08 -4.25886e-01]","[-0.00480547 -0.00141248 -0.00328488 -0.00061123  0.00374773 -0.00033687
 -0.00149875 -0.00362855  0.00055287  0.00205747  0.00106058 -0.00094265
 -0.00088588  0.00086124]"
09-03,-0.0372713,0.913861,0.0204244,"[-2.57792e-07 -4.43044e-03 -4.28158e-03 -9.73621e-06 -3.59592e-03
 -2.68064e-07 -1.46214e-08 -4.67131e-06 -2.15475e-04  6.23320e-08
  3.81407e-02  9.34564e-02  4.15684e-02 -1.09572e-06 -2.47033e-02
 -5.47969e-02 -9.24915e-02 -1.03423e-07  1.20820e-07  2.66554e-07
  1.24824e-01  3.64881e-02  3.00925e-05  7.87748e-08 -3.22873e-01]","[-0.00241111 -0.00271157 -0.0042396  -0.00196758  0.00305347  0.00084542
 -0.00091907 -0.00294506  0.00037311  0.00256102  0.00073175 -0.0008798
 -0.0008318   0.00075161]"
09-04,-0.0330022,0.912968,0.0200687,"[-2.31018e-08 -2.41095e-03 -5.81568e-04 -6.72102e-03 -8.34108e-03
 -5.73014e-07 -4.01367e-07 -5.15914e-08 -4.62792e-08  1.66689e-05
  6.43805e-02  1.00352e-01 -2.61141e-08 -5.84077e-06 -9.37452e-03
 -9.24634e-02 -6.68401e-02  1.39510e-08  3.60105e-08  7.13106e-08
  1.73934e-01 -4.79403e-08  3.52810e-07 -9.18796e-08 -4.14743e-01]","[-0.00125627 -0.00199658 -0.00427944 -0.00213558  0.00272746  0.0010057
 -0.00121227 -0.00331212  0.00042481  0.00242018  0.00080517 -0.00084598
 -0.00077694  0.00076046]"
09-05,-0.0501994,0.914876,0.0208136,"[ 8.90076e-10 -1.00963e-03 -5.31723e-05 -3.98647e-07 -3.08959e-08
 -1.10418e-06 -1.30471e-06 -2.04122e-03 -2.88982e-07  2.31495e-08
  9.61417e-02  9.63119e-02  8.10204e-08 -1.41811e-02 -6.86081e-02
 -9.78169e-02  2.04468e-08  1.16896e-07  4.02916e-06  9.22776e-02
 -3.93311e-09  5.48529e-09 -1.07252e-06 -1.45780e-01 -1.18485e-01]","[-0.0034999  -0.00323073 -0.00253999 -0.00284949  0.00204226  0.00238992
 -0.0008528  -0.00388185  0.0003539   0.00220654  0.00079259 -0.00098821
 -0.00077705  0.00062165]"
09-06,-0.0495641,0.915045,0.0210531,"[ 3.68188e-08 -4.46697e-03 -6.88104e-05 -3.23211e-09 -2.45460e-09
  2.78690e-08 -7.00324e-07 -1.05502e-04  2.46292e-09 -3.81150e-09
  1.52706e-01  4.29361e-02 -4.98391e-06 -2.79652e-02 -1.18062e-01
 -4.50569e-02 -1.96247e-08  5.66385e-03  8.88947e-02  3.87205e-03
  4.03929e-09  4.14672e-08 -1.52450e-01 -7.29983e-02  1.20529e-08]","[-0.00463406 -0.00309618 -0.00217077 -0.00382148  0.00292209  0.00300149
 -0.00017666 -0.00307299  0.00033689  0.00229159  0.00055499 -0.00086122
 -0.00092422  0.00054557]"
09-07,-0.0558763,0.915366,0.0207898,"[ 3.15545e-10 -2.04047e-09 -7.44294e-09 -6.82858e-08  4.87339e-08
  5.47193e-08 -4.21191e-08 -3.95565e-07  1.99533e-08  4.71346e-02
  1.40979e-01  1.91769e-08 -2.76463e-04 -6.98626e-02 -9.57067e-02
 -8.29830e-06  1.02221e-06  8.15153e-03  8.24582e-02 -1.09353e-08
  6.49269e-08 -9.57116e-02 -1.49187e-01 -1.63041e-08  1.46898e-03]","[-0.00434405 -0.00323422 -0.00195318 -0.00376327  0.0030806   0.00320238
 -0.00037132 -0.00316602  0.00038822  0.00223193  0.00065756 -0.0009146
 -0.00097022  0.0005862 ]"
09-08,-0.0517186,0.914533,0.0202713,"[-1.60523e-08 -9.55073e-04  1.78345e-08  5.25107e-08 -1.29178e-07
  1.81474e-08  2.40705e-10 -6.57496e-08  4.15061e-08  5.21378e-02
  1.42178e-01 -9.44808e-08 -2.16479e-03 -1.13815e-01 -8.37851e-02
  7.31447e-08  1.07384e-06  1.38477e-01  9.69831e-04  3.48233e-05
  4.34238e-08 -2.34124e-01 -1.91794e-01 -3.85365e-08  2.13133e-01]","[-0.00373137 -0.00266255 -0.0018071  -0.00375138  0.00324493  0.00311651
 -0.0004142  -0.00321294  0.00041443  0.00221662  0.00061457 -0.00094217
 -0.00096707  0.00056887]"
09-09,-0.0565112,0.914944,0.0200573,"[-4.48873e-07 -1.13532e-04 -1.62001e-07 -2.28713e-08  3.80399e-08
 -2.13158e-07 -7.43066e-07  1.37827e-08  8.79709e-09  1.49425e-01
  5.25126e-02 -1.54017e-05 -5.07914e-02 -1.34169e-01 -5.42865e-05
 -2.37198e-08 -2.22335e-08  1.37471e-01  1.43303e-07  5.65217e-08
 -1.33086e-01 -2.35168e-01 -6.01969e-02 -3.87769e-08  2.08527e-01]","[-0.00356199 -0.00309083 -0.00183763 -0.00368623  0.00321818  0.00316146
 -0.0004842  -0.00317453  0.00042343  0.00222621  0.00055327 -0.00083575
 -0.00094188  0.00050385]"
09-10,-0.0595113,0.915175,0.0198298,"[ 4.99980e-08 -6.19450e-06  2.49879e-08 -5.48841e-09 -5.76388e-10
  2.38595e-08 -3.80691e-07  1.35366e-07 -3.02511e-09  2.04005e-01
  3.18035e-08 -1.55351e-03 -5.53033e-02 -1.42860e-01 -2.07968e-08
  1.40481e-07  9.71269e-02  3.09565e-02  2.63196e-06  5.69356e-08
 -2.30557e-01 -1.71658e-01 -4.29662e-08  1.70181e-01  1.47236e-02]","[-0.00367647 -0.00296743 -0.00169613 -0.00371784  0.00318274  0.00313344
 -0.00054716 -0.00320963  0.00034539  0.00224183  0.0004884  -0.00083285
 -0.00098145  0.00046256]"
09-11,-0.0598184,0.914955,0.0196089,"[ 1.74051e-08 -2.13248e-05  1.03733e-09 -2.40284e-07  1.63953e-08
 -4.94220e-10 -2.49653e-07 -1.41415e-07  4.81587e-02  1.71275e-01
 -1.27727e-07 -3.21102e-02 -1.20890e-01 -6.13965e-02  2.66102e-08
 -2.59131e-08  1.51038e-01  1.33489e-08 -7.11709e-08 -1.58305e-01
 -2.29700e-01 -7.01929e-03  2.78507e-08  1.57959e-01  4.91738e-05]","[-0.00379035 -0.00300527 -0.0017197  -0.00377899  0.00306458  0.00310862
 -0.00055211 -0.00328488  0.0003498   0.00222178  0.00044745 -0.0009156
 -0.00087051  0.00041862]"
09-12,-0.060587,0.914836,0.0195375,"[-1.80105e-08 -6.01884e-08 -2.48172e-08 -5.62502e-08 -7.05741e-08
 -2.57874e-08 -1.25959e-07  8.48254e-09  1.07451e-01  1.00569e-01
 -3.30540e-07 -4.83895e-02 -1.25346e-01  4.36398e-08  3.95618e-07
  2.45808e-02  6.41988e-02  1.32301e-07 -3.79325e-07 -2.33557e-01
 -1.46258e-01 -2.38332e-08  1.49704e-01  4.20354e-08  1.44061e-08]","[-0.0031177  -0.00300919 -0.0021052  -0.00351009  0.00327072  0.00271114
 -0.00047514 -0.00315715  0.00036501  0.00218442  0.00044162 -0.00094915
 -0.0008803   0.00041008]"
09-13,-0.0619084,0.91473,0.0192576,"[-2.45628e-08 -9.27313e-04 -5.65644e-06 -1.93853e-07 -1.81331e-07
 -8.47453e-08 -8.25977e-07  3.38223e-07  1.96192e-01  9.51769e-08
 -6.44721e-09 -4.25586e-02 -1.50390e-01 -1.11014e-08  8.22836e-08
  1.48248e-01  4.56130e-07  5.76707e-07 -1.07379e-01 -3.15073e-01
 -4.11142e-08  3.87660e-02  2.11102e-01  7.16019e-08 -1.36035e-01]","[-0.0024507  -0.00306164 -0.00209657 -0.00304185  0.00273713  0.00269006
 -0.00059394 -0.00322858  0.00042079  0.00209865  0.0004346  -0.00095443
 -0.00093097  0.00039274]"
09-14,-0.0624745,0.914613,0.0189395,"[-1.48721e-07 -8.58723e-05  4.96185e-08 -1.44516e-07 -9.87454e-09
 -1.51480e-09 -7.72369e-08  1.75423e-05  2.15079e-01 -1.12082e-07
 -3.11040e-03 -1.31895e-01 -7.07716e-02 -3.82768e-08  1.56078e-08
  1.64625e-01  6.09639e-09 -1.49604e-08 -2.99085e-01 -2.32296e-01
 -6.42833e-08  3.24769e-01  1.87234e-02  2.97427e-07 -1.60198e-01]","[-0.00226847 -0.00279888 -0.00206911 -0.00287416  0.00261583  0.00281881
 -0.00060075 -0.00323364  0.0004131   0.00207312  0.00052359 -0.00089021
 -0.00088727  0.00043433]"
09-15,-0.0610132,0.914327,0.018961,"[-1.66626e-08 -8.42872e-04 -1.94066e-08 -9.06465e-09 -3.95329e-09
 -1.69484e-08  2.42371e-08  2.08639e-02  1.91370e-01 -1.03109e-08
 -1.78935e-04 -1.78076e-01 -9.40728e-08  7.74944e-07  3.34114e-02
  6.16928e-02  1.55954e-03  4.98166e-08 -4.11702e-01 -5.71746e-08
  3.37384e-02  2.02008e-01  2.41731e-05 -1.05870e-01 -7.17835e-08]","[-0.0022934  -0.00286467 -0.00209325 -0.00279971  0.00282191  0.0028413
 -0.0006552  -0.00321512  0.0004536   0.00210452  0.00042477 -0.00089021
 -0.00093202  0.00041608]"
09-16,-0.063947,0.914447,0.0186932,"[-1.84114e-07 -1.06792e-03 -1.60701e-07 -1.66149e-07 -9.30028e-09
  3.86651e-09 -2.28340e-08  9.37950e-02  1.18223e-01  3.00597e-08
 -2.52162e-02 -1.70836e-01 -2.67676e-08  5.02794e-08  1.40988e-01
  1.00016e-06 -1.52850e-08 -2.35366e-01 -2.42997e-01  6.54678e-08
  2.38018e-01  1.45223e-02  5.08507e-08 -8.25632e-02 -1.49289e-08]","[-0.00226558 -0.00273462 -0.00193463 -0.00291372  0.00266545  0.00282245
 -0.00069878 -0.00326999  0.00047969  0.00207052  0.00045919 -0.00092727
 -0.00095374  0.00045478]"
09-17,-0.064789,0.914294,0.0185852,"[-7.80821e-09 -1.04855e-04 -4.21695e-06 -6.18329e-08  2.22173e-08
  1.70859e-08  5.81404e-07  1.39358e-01  6.62100e-02 -6.35723e-04
 -5.52115e-02 -1.25276e-01  7.99409e-08  2.89321e-06  1.26073e-01
  5.02650e-07 -1.36515e-06 -3.87557e-01 -7.04566e-02  2.70235e-02
  2.35060e-01  1.89520e-07 -1.10638e-01 -2.86781e-03 -4.27589e-07]","[-0.00214859 -0.00266432 -0.00193707 -0.00288651  0.00267435  0.00268306
 -0.00069772 -0.00331084  0.0004182   0.00203565  0.00043705 -0.00093878
 -0.00096393  0.00043138]"
